daystilldelivery,inventorytofactorydistance,isholiday,manufacturingtime,modeofdelivery,month,profittocompany,quantity,rootcause,year
3,672,True,3,airways,October,949,60,Poor inventory control,2008
49,1124,False,12,road,July,523,4,Poor inventory control,2018
1,2590,False,4,airways,July,2007,82,Demand Variation,2005
9,8920,False,1,rail,November,974,82,Poor Lead time calculation,2004
5,1483,True,2,rail,December,2581,126,Financial problems of company leading to interrupted supplies,2007
48,1861,False,11,water,July,1368,82,Raw material low,2004
2,3055,False,29,airways,February,940,329,Huge backlog of orders,2009
4,717,True,4,airways,August,1214,118,Strike of workers,2013
1,365,True,31,airways,March,564,63,Strike of workers,2015
16,589,False,3,road,August,1947,40,Supply Shortages and logistical uncertainties,2002
3,1262,False,1,road,August,4454,138,Transport Delays,2014
1,2537,True,12,road,May,1718,493,Transport Delays,2010
0,1735,False,3,water,November,955,90,Factory shutdown,2014
0,1061,True,8,road,December,423,96,Raw material low,2017
7,703,False,4,water,November,1052,23,electricty stoppage,2009
7,4929,True,4,road,July,1139,342,Huge backlog of orders,2012
2,523,True,3,rail,April,1918,50,Poor inventory control,2007
34,47,False,4,water,August,4556,26,Factory shutdown,2005
1,1033,True,0,rail,February,334,21,Poor inventory control,2008
12,1670,False,0,road,February,529,32,excessive machine stoppage,2018
3,1321,False,17,water,May,713,9,faulty plant layout,2018
4,5625,True,12,water,June,8727,132,electricty stoppage,2013
4,173,False,6,rail,February,742,13,Transport Delays,2017
2,1219,False,8,rail,November,1292,65,Demand Variation,2014
9,362,False,6,road,February,806,92,Financial problems of company leading to interrupted supplies,2014
2,931,False,4,water,January,6982,103,Factory shutdown,2001
5,81,False,2,road,February,647,67,Strike of workers,2006
1,902,False,8,water,August,1256,437,material wastage due to over-feeding,2008
6,847,True,13,road,April,251,103,faulty plant layout,2011
4,634,False,8,rail,September,554,87,Poor Lead time calculation,2013
6,601,False,2,rail,August,1131,337,Strike of workers,2001
3,2345,True,4,road,September,1261,209,faulty plant layout,2007
5,1405,True,7,airways,July,272,150,Supply Shortages and logistical uncertainties,2018
2,421,True,2,water,September,1472,177,faulty plant layout,2018
1,97,False,1,water,March,966,92,Strike of workers,2013
4,569,True,11,road,October,1334,232,Transport Delays,2017
3,296,False,15,rail,November,1849,92,Supply Shortages and logistical uncertainties,2015
0,779,True,5,airways,August,9149,24,electricty stoppage,2008
8,503,False,6,road,February,249,91,Poor inventory control,2001
11,1048,False,4,rail,July,680,148,material wastage due to over-feeding,2017
