daystilldelivery,inventorytofactorydistance,isholiday,manufacturingtime,modeofdelivery,month,profittocompany,quantity,rootcause,year
1,501,True,12,water,November,341,141,Supply Shortages and logistical uncertainties,2011
1,2148,False,4,airways,November,781,24,Demand Variation,2002
12,5249,False,14,airways,September,1175,105,Supply Shortages and logistical uncertainties,2017
5,269,True,5,road,January,292,30,Poor Lead time calculation,2011
1,2079,True,2,rail,September,615,98,Raw material low,2015
4,194,False,0,water,April,535,66,Factory shutdown,2011
0,1040,False,4,airways,November,443,50,Financial problems of company leading to interrupted supplies,2004
0,37,True,2,road,December,593,80,Transport Delays,2011
12,1236,True,10,road,August,893,183,Poor Planning,2014
13,121,False,4,rail,September,2082,45,Raw material low,2011
19,843,False,3,road,December,133,5,Poor inventory control,2003
1,8013,True,11,road,February,675,79,Transport Delays,2005
3,1214,False,17,road,November,4746,89,Financial problems of company leading to interrupted supplies,2018
3,1023,False,3,rail,March,963,49,Poor Lead time calculation,2016
48,338,False,3,water,July,714,40,Financial problems of company leading to interrupted supplies,2015
5,631,True,2,airways,June,2110,15,Supply Shortages and logistical uncertainties,2017
5,188,False,0,rail,January,938,119,Raw material low,2012
8,93,False,2,water,March,2324,78,Transport Delays,2013
2,548,True,4,water,February,3126,104,Financial problems of company leading to interrupted supplies,2018
1,1037,True,1,water,December,4123,61,faulty plant layout,2003
3,971,True,0,water,April,944,20,Financial problems of company leading to interrupted supplies,2011
1,2312,False,9,road,July,1422,189,Huge backlog of orders,2016
3,1238,False,3,water,March,1725,55,excessive machine stoppage,2003
16,552,False,0,airways,January,900,123,Poor Planning,2004
7,1720,True,2,road,July,4328,17,Poor inventory control,2009
3,586,True,24,airways,November,1574,252,Strike of workers,2018
12,1391,False,5,road,February,1179,235,material wastage due to over-feeding,2008
37,1543,False,2,water,December,299,46,Poor inventory control,2001
2,1495,False,2,airways,December,6034,54,Strike of workers,2007
34,527,False,31,rail,September,1609,181,Poor Planning,2002
19,2212,True,3,road,February,447,213,Demand Variation,2008
24,4598,True,7,rail,February,174,121,Transport Delays,2002
9,536,True,20,water,September,2410,25,Strike of workers,2015
3,4662,True,1,airways,August,1478,306,Financial problems of company leading to interrupted supplies,2016
7,1019,False,3,road,October,1131,16,material wastage due to over-feeding,2013
4,544,True,2,rail,September,1630,151,Poor Planning,2010
1,381,False,26,rail,June,859,195,Huge backlog of orders,2001
4,307,False,4,water,October,2647,247,Transport Delays,2005
1,638,False,0,road,June,4305,114,Supply Shortages and logistical uncertainties,2013
5,1126,True,41,water,July,1121,29,Supply Shortages and logistical uncertainties,2016
4,688,False,15,rail,November,4751,79,Poor inventory control,2010
3,428,True,3,airways,March,544,238,Poor Lead time calculation,2004
