daystilldelivery,inventorytofactorydistance,isholiday,manufacturingtime,modeofdelivery,month,profittocompany,quantity,rootcause,year
2,942,True,2,rail,December,1437,318,electricty stoppage,2016
1,8132,False,21,airways,October,497,100,Poor Lead time calculation,2010
3,621,False,5,water,July,7740,15,electricty stoppage,2016
5,406,False,29,water,October,1423,45,Financial problems of company leading to interrupted supplies,2015
3,743,True,4,rail,July,207,102,Poor Planning,2015
1,464,True,4,airways,March,4417,4,excessive machine stoppage,2003
5,960,True,0,road,January,436,18,Factory shutdown,2006
1,1185,False,3,rail,June,8922,66,material wastage due to over-feeding,2017
2,287,False,6,water,February,401,942,Poor inventory control,2015
4,682,True,4,road,December,1654,178,Poor Lead time calculation,2015
1,1340,True,3,airways,November,347,60,Factory shutdown,2007
5,5982,True,7,rail,February,184,128,Financial problems of company leading to interrupted supplies,2006
10,837,False,2,road,February,2590,29,Huge backlog of orders,2003
6,1089,False,5,rail,February,1162,22,Strike of workers,2017
4,186,False,10,rail,March,634,110,Financial problems of company leading to interrupted supplies,2016
45,462,True,9,water,February,766,26,Demand Variation,2011
4,3276,False,8,airways,March,825,65,Supply Shortages and logistical uncertainties,2017
4,348,False,2,water,July,1517,61,material wastage due to over-feeding,2017
21,843,False,5,rail,August,1821,2,Factory shutdown,2013
9,37,True,24,water,April,1486,4,Financial problems of company leading to interrupted supplies,2011
5,772,False,2,road,December,149,90,electricty stoppage,2001
5,1831,True,3,road,August,1020,98,Poor inventory control,2012
0,2158,False,6,road,September,4341,161,Supply Shortages and logistical uncertainties,2010
8,1108,False,3,airways,April,1303,74,Transport Delays,2018
2,944,True,4,road,March,982,5,material wastage due to over-feeding,2010
7,600,True,49,water,July,883,109,Financial problems of company leading to interrupted supplies,2010
5,614,True,3,rail,April,234,380,Transport Delays,2009
8,994,False,3,road,October,400,3,Financial problems of company leading to interrupted supplies,2004
4,281,False,25,airways,January,555,65,Transport Delays,2017
1,928,False,4,rail,March,984,26,Factory shutdown,2006
7,1425,False,10,road,November,268,57,faulty plant layout,2014
3,217,False,4,road,January,805,43,electricty stoppage,2016
3,1702,False,5,road,December,1179,315,Poor inventory control,2016
12,172,False,7,airways,September,416,690,Supply Shortages and logistical uncertainties,2001
17,8700,False,18,water,January,510,67,Financial problems of company leading to interrupted supplies,2002
9,2924,True,1,airways,May,3642,98,electricty stoppage,2018
1,398,True,0,airways,November,389,161,Transport Delays,2006
11,7004,False,2,rail,June,6342,79,Huge backlog of orders,2007
1,40,True,8,water,June,2252,280,Financial problems of company leading to interrupted supplies,2008
12,4662,True,2,rail,September,1465,140,Demand Variation,2014
